de_7_ball,de_14_inner,de_14_outer,de_21_outer
-0.118494605,-0.544170904,-0.011842103,0.229424576
-0.256551842,-0.108263596,-0.233420968,0.774963664
-0.005618565,0.090953559,0.140132402,-1.083660184
-0.147960466,-0.050460869,-0.049449093,-0.086593682
-0.144533908,-0.197539835,0.018349528,-0.357500321
0.141588193,0.196289676,-0.13187366,0.146603858
0.600243802,0.454958868,0.333043342,-0.599410642
0.118570531,0.18136211,0.086677733,0.410287783
-0.419010575,-0.523150158,-0.094533942,0.827333708
-0.438848665,-0.147028762,-0.082909512,0.271313187
0.275222836,-0.359316525,-0.180230917,0.171904914
0.378056106,0.810214694,0.043859314,-0.972710365
-0.3783571,-0.097207055,0.123010451,0.572455099
0.414934554,0.003073755,-0.143087415,0.439803563
0.384354168,-0.189570616,0.117962225,-1.047413599
-0.223766282,0.186260568,-0.066423268,0.266742633
-0.285230442,-0.021038973,-0.075747421,-0.890399398
-0.138477195,0.143946607,0.302229303,1.010129621
0.444866677,-0.178966839,-0.071226575,0.685747322
-0.389274203,-0.187527647,-0.104067352,0.089964067
-0.208544904,0.216304674,0.043663207,-0.376114699
-0.238569835,0.266262456,-0.041892519,-0.965024804
0.053302586,0.181442192,-0.006088848,0.042066008
-0.221746917,-0.636301266,-0.001641665,0.282774703
0.658652578,-0.491206665,-0.005675798,0.288923337
0.473925653,0.342109262,-0.167488668,-0.721425462
0.253076131,0.417625885,-0.016125371,0.706222293
-0.484757152,-0.378059786,-0.031855261,0.129090464
-0.310405614,0.046838053,-0.07668539,0.185075561
-0.189183656,0.415262178,0.32066464,0.056010498
-0.035181875,-0.141522959,-0.253781049,-0.326464688
0.075166761,0.174726847,0.015395032,-0.647504027
0.028902494,-0.611784972,0.392568655,0.304402938
0.112657856,0.385840819,-0.244108189,0.678978074
0.345130126,-0.018638152,0.084867325,-0.446595435
-0.204335975,0.062666054,-0.062846106,0.15997294
-0.272806083,-0.069238459,0.045367238,0.404488625
0.251137227,0.183675121,-0.25206618,-0.608311585
-0.162596181,-0.566007616,0.103038098,-0.373086152
0.113776169,0.052462162,0.218535174,-0.255474297
-0.048325515,0.284393964,-0.054021036,0.448272506
0.136409227,-0.487353878,-0.049961226,-1.151649448
-0.262354985,-0.22742,0.008148258,0.301937969
0.48196597,0.200784367,-0.098066786,1.019362316
-0.026869672,0.628615842,-0.132013124,0.200578897
-0.270659789,0.318133454,-0.087911654,1.035772729
-0.262790429,-0.288153026,0.4036485,0.362331142
0.355148277,-0.253122764,-0.218481709,-0.542641312
0.175178454,0.159598571,-0.037161451,-3.37471275
-0.551714516,-0.423219715,0.027681747,1.20756322
0.244364005,-0.066681561,0.247924652,2.962044705
0.138663676,-0.479335236,-0.074833163,-0.68836913
0.119134721,0.216899188,0.017672526,-2.449503303
-0.327518338,0.411580914,-0.12597328,1.493713598
0.277914746,0.202341334,0.022556167,-0.185000463
0.105670964,0.362948478,0.022545022,-1.146479804
-0.448627174,-0.065727821,0.093233958,2.089309758
-0.237997235,-0.068074058,-0.269262068,1.005103975
0.550687987,-0.626570482,0.045666351,-1.394912207
0.720028723,0.237825712,0.049884699,-2.094820332
-0.46967758,-0.299973722,-0.162746487,2.506540153
-0.022994489,-0.077198119,0.218797597,-0.003499988
-0.28538889,0.467975005,0.146642881,-2.260308963
-0.050813861,0.281264285,-0.134443624,1.653089103
-0.165820743,-0.752573875,-0.023233083,1.119630975
0.043648412,0.445186994,-0.010294207,-2.000002335
0.374936179,0.171894717,-0.172396218,-1.137528968
-0.01321164,-0.074356523,-0.060476043,2.137960123
